Team_Name,Team_Wins,Time_Losses,Team_WL_Percent,Team_Games_B,Team_PSG,Team_TAG,Team_SRS,Team_Conf
Atlanta Hawks,43,39,0.524,10,113.9,112.4,1.55,Eastern
Boston Celtics,51,31,0.622,2,111.8,104.5,7.02,Eastern
Brooklyn Nets,44,38,0.537,9,112.9,112.1,0.82,Eastern
Charlotte Hornets,43,39,0.524,10,115.3,114.9,0.53,Eastern
Chicago Bulls,46,36,0.561,7,111.6,112,-0.38,Eastern
Cleveland Cavaliers,44,38,0.537,9,107.8,105.7,2.04,Eastern
Dallas Mavericks,52,30,0.634,12,108,104.7,3.12,Western
Denver Nuggets,48,34,0.585,16,112.7,110.4,2.16,Western
Detroit Pistons,23,59,0.28,30,104.8,112.5,-7.36,Eastern
Golden State Warriors,53,29,0.646,11,111,105.5,5.52,Western
Houston Rockets,20,62,0.244,44,109.7,118.2,-8.26,Western
Indiana Pacers,25,57,0.305,28,111.5,114.9,-3.26,Eastern
Los Angeles Clippers,42,40,0.512,22,108.4,108.4,0.09,Western
Los Angeles Lakers,33,49,0.402,31,112.1,115.1,-3.08,Western
Memphis Grizzlies,56,26,0.683,8,115.6,109.9,5.37,Western
Miami Heat,53,29,0.646,0,110,105.6,4.23,Eastern
Milwaukee Bucks,51,31,0.622,2,115.5,112.1,3.22,Eastern
Minnesota Timberwolves,46,36,0.561,18,115.9,113.3,2.53,Western
New Orleans Pelicans,36,46,0.439,28,109.3,110.3,-0.84,Western
New York Knicks,37,45,0.451,16,106.5,106.6,-0.01,Eastern
Oklahoma City Thunder,24,58,0.293,40,103.7,111.8,-7.9,Western
Orlando Magic,22,60,0.268,31,104.2,112.2,-7.6,Eastern
Philadelphia Sixers,51,31,0.622,2,109.9,107.3,2.57,Eastern
Phoenix Suns,64,18,0.78,0,114.8,107.3,6.94,Western
Portland Trail Blazers,27,55,0.329,37,106.2,115.1,-8.55,Western
Sacramento Kings,30,52,0.366,34,110.3,115.8,-5.26,Western
San Antonio Spurs,34,48,0.415,30,113.2,113,0.02,Western
Toronto Raptors,48,34,0.585,5,109.4,107.1,2.38,Eastern
Utah Jazz,49,33,0.598,15,113.6,107.6,5.67,Western
Washington Wizards,35,47,0.427,18,108.6,112,-3.23,Eastern
