,Player,Player City,Country,State,Team City,PER,Player US Full City
331,John Konchar,Chicago,US,IL,Memphis,14.0,"Chicago, IL"
332,Kentavious Caldwell-Pope,Thomaston,US,GA,Washington,12.6,"Thomaston, GA"
333,Bradley Beal,St. Louis,US,MO,Washington,17.5,"St. Louis, MO"
334,Ish Smith,Charlotte,US,NC,Washington,12.5,"Charlotte, NC"
335,Cassius Winston,Detroit,US,MI,Washington,6.0,"Detroit, MI"
336,Thomas Bryant,Rochester,US,NY,Washington,16.6,"Rochester, NY"
337,Isaiah Todd,Baltimore,US,MD,Washington,4.7,"Baltimore, MD"
338,Anthony Gill,High Point,US,NC,Washington,14.7,"High Point, NC"
339,Daniel Gafford,El Dorado,US,AR,Washington,21.8,"El Dorado, AR"
340,Vernon Carey Jr.,Miami,US,FL,Washington,15.8,"Miami, FL"
341,Corey Kispert,Edmonds,US,WA,Washington,10.9,"Edmonds, WA"
342,Kyle Kuzma,Flint,US,MI,Washington,15.2,"Flint, MI"
343,Cade Cunningham,Arlington,US,TX,Detroit,13.1,"Arlington, TX"
344,Carsen Edwards,Houston,US,TX,Detroit,5.5,"Houston, TX"
345,Frank Jackson,Washington,US,DC,Detroit,10.6,"Washington, DC"
346,Hamidou Diallo,Queens,US,NY,Detroit,15.7,"Queens, NY"
347,Killian Hayes,Lakeland,US,FL,Detroit,9.3,"Lakeland, FL"
348,Jerami Grant,Portland,US,OR,Detroit,16.1,"Portland, OR"
349,Isaiah Livers,Kalamazoo,US,MI,Detroit,11.1,"Kalamazoo, MI"
350,Rodney McGruder,Landover,US,MD,Detroit,11.6,"Landover, MD"
351,Braxton Key,Charlotte,US,NC,Detroit,13.7,"Charlotte, NC"
352,Jamorko Pickett,Washington,US,DC,Detroit,7.6,"Washington, DC"
353,Isaiah Stewart,Rochester,US,NY,Detroit,14.0,"Rochester, NY"
354,Marvin Bagley III,Tempe,US,AZ,Detroit,15.7,"Tempe, AZ"
355,Saben Lee,St. Louis,US,MO,Detroit,13.8,"St. Louis, MO"
356,Saddiq Bey,Charlotte,US,NC,Detroit,14.0,"Charlotte, NC"
357,Luka Garza,Washington,US,DC,Detroit,15.6,"Washington, DC"
358,Miles Bridges,Flint,US,MI,Charlotte,17.9,"Flint, MI"
359,LaMelo Ball,Anaheim,US,CA,Charlotte,19.7,"Anaheim, CA"
360,Terry Rozier,Youngstown,US,OH,Charlotte,17.6,"Youngstown, OH"
361,Isaiah Thomas,Tacoma,US,WA,Charlotte,12.0,"Tacoma, WA"
362,James Bouknight,Brooklyn,US,NY,Charlotte,10.1,"Brooklyn, NY"
363,Jalen McDaniels,Federal Way,US,WA,Charlotte,12.7,"Federal Way, WA"
364,Montrezl Harrell,Tarboro,US,NC,Charlotte,23.2,"Tarboro, NC"
365,Cody Martin,Winston-Salem,US,NC,Charlotte,12.7,"Winston-Salem, NC"
366,Kelly Oubre Jr.,New Orleans,US,LA,Charlotte,14.9,"New Orleans, LA"
367,Scottie Lewis,Bronx,US,NY,Charlotte,14.6,"Bronx, NY"
368,Gordon Hayward,Indianapolis,US,IN,Charlotte,15.1,"Indianapolis, IN"
369,JT Thor,Omaha,US,NE,Charlotte,9.7,"Omaha, NE"
370,Mason Plumlee,Fort Wayne,US,IN,Charlotte,14.7,"Fort Wayne, IN"
371,P.J. Washington,Louisville,US,KY,Charlotte,13.6,"Louisville, KY"
