,Player,Player City,Country,Team City,PER,Player Int Full City
77,Rudy Gobert,Saint-Quentin,FR,Utah,24.7,"Saint-Quentin, FR"
78,Steven Adams,Rotorua,NZ,Memphis,17.6,"Rotorua, NZ"
79,Yves Pons,Port-au-Prince,HT,Memphis,5.9,"Port-au-Prince, HT"
80,Santi Aldama,Las Palmas,ES,Memphis,10.2,"Las Palmas, ES"
81,Brandon Clarke,Vancouver,CA,Memphis,23.7,"Vancouver, CA"
82,Dillon Brooks,Mississauga,CA,Memphis,15.5,"Mississauga, CA"
83,Killian Tillie,Cagnes-sur-Mer,FR,Memphis,7.6,"Cagnes-sur-Mer, FR"
84,Rui Hachimura,Toyama,JP,Washington,14.9,"Toyama, JP"
85,Deni Avdija,Beit Zera,IL,Washington,11.6,"Beit Zera, IL"
86,Raul Neto,Belo Horizonte,BR,Washington,12.4,"Belo Horizonte, BR"
87,Kelly Olynyk,Toronto,CA,Detroit,16.7,"Toronto, CA"
88,Cory Joseph,Toronto,CA,Detroit,11.4,"Toronto, CA"
89,Nick Richards,Kingston,JM,Charlotte,15.9,"Kingston, JM"
90,Kai Jones,Nassau,BS,Charlotte,9.2,"Nassau, BS"
