,Player,Country,PER
251,Alec Burks,US,13.7
252,Cam Reddish,US,12.8
253,Mitchell Robinson,US,20.7
254,Julius Randle,US,15.7
255,Jericho Sims,US,11.6
256,Ryan Arcidiacono,US,6.1
257,Taj Gibson,US,12.0
258,Chuma Okeke,US,12.0
259,Jalen Suggs,US,8.6
260,Mo Bamba,US,16.5
261,Bol Bol,SD,13.5
262,R.J. Hampton,US,8.5
263,Gary Harris,US,10.9
264,Ignas Brazdeikis,LT,10.2
265,Markelle Fultz,US,17.7
266,Moritz Wagner,DE,18.1
267,Franz Wagner,DE,14.7
268,Admiral Schofield,GB,7.5
269,Devin Cannady,US,8.6
270,Terrence Ross,US,10.0
271,Robin Lopez,US,13.7
272,Wendell Carter Jr.,US,18.4
273,Cole Anthony,US,13.5
274,Gabe York,US,12.7
275,Tyrese Haliburton,US,18.2
276,Chris Duarte,CA,12.3
277,Duane Washington Jr.,DE,10.2
278,Lance Stephenson,US,13.6
279,Malcolm Brogdon,US,18.0
280,T.J. McConnell,US,15.1
281,T.J. McConnell,US,15.1
282,Oshae Brissett,CA,12.9
283,Isaiah Jackson,US,20.5
284,Buddy Hield,BS,12.9
285,Jalen Smith,US,18.4
286,Terry Taylor,US,19.0
287,Myles Turner,US,17.4
288,Goga Bitadze,GE,18.0
289,Ricky Rubio,ES,14.0
290,Tyrese Maxey,US,16.2
291,James Harden,US,20.9
292,Myles Powell,US,0.2
293,Isaiah Joe,US,7.7
294,Paul Millsap,US,10.8
295,DeAndre Jordan,US,17.2
296,Jaden Springer,US,26.4
297,Tobias Harris,US,15.9
298,Danny Green,US,9.5
299,Charlie Brown Jr.,US,6.5
300,Shake Milton,US,11.9
301,Georges Niang,US,10.7
302,Joel Embiid,CM,31.2
303,Matisse Thybulle,US,11.2
304,Charles Bassey,NG,21.5
305,Furkan Korkmaz,TR,10.2
306,Paul Reed,US,21.4
307,JaVale McGee,US,22.6
308,Torrey Craig,US,11.0
309,Devin Booker,US,21.3
310,Elfrid Payton,US,7.9
311,Chris Paul,US,20.8
312,Aaron Holiday,US,12.6
313,Ish Wainright,US,9.4
314,Landry Shamet,US,10.2
315,Cameron Payne,US,13.8
316,Bismack Biyombo,CD,17.3
317,Gabriel Lundberg,DK,7.7
318,Deandre Ayton,BS,21.9
319,Cameron Johnson,US,15.2
320,Cameron Johnson,US,15.2
321,Mikal Bridges,US,14.4
322,Jae Crowder,US,11.3
323,Damian Lillard,US,18.5
324,Anfernee Simons,US,15.3
325,Trendon Watford,US,15.8
326,Greg Brown III,US,11.0
327,Eric Bledsoe,US,12.5
328,Keon Johnson,US,8.7
329,Brandon Williams,US,11.0
330,Brandon Williams,US,11.0
331,Brandon Williams,US,11.0
332,Brandon Williams,US,11.0
333,Nassir Little,US,13.5
334,Josh Hart,US,16.1
335,CJ Elleby,US,9.2
336,Elijah Hughes,US,5.4
337,Elijah Hughes,US,5.4
338,Keljin Blevins,US,4.8
339,Keljin Blevins,US,4.8
340,Ben McLemore,US,11.7
341,Justise Winslow,US,13.1
342,Didi Louzada,BR,6.4
343,Donte DiVincenzo,US,11.3
344,Terence Davis,US,14.6
345,De'Aaron Fox,US,17.4
346,Chimezie Metu,US,13.4
347,Maurice Harkless,US,7.7
348,Justin Holiday,US,9.5
349,Domantas Sabonis,US,21.9
350,Davion Mitchell,US,10.8
351,Davion Mitchell,US,10.8
352,Richaun Holmes,US,17.8
353,Alex Len,UA,13.1
354,Jeremy Lamb,US,13.3
355,Damian Jones,US,18.3
356,Harrison Barnes,US,15.7
357,Trey Lyles,CA,16.4
358,Josh Jackson,US,9.5
359,Neemias Queta,PT,12.7
360,Lonnie Walker IV,US,12.3
361,Keldon Johnson,US,15.2
362,Dejounte Murray,US,22.3
363,Josh Richardson,US,12.8
364,Joshua Primo,CA,7.1
365,Joe Wieskamp,US,7.1
366,Doug McDermott,US,11.4
367,Devontae Cacok,US,20.2
368,Zach Collins,US,16.4
369,Devin Vassell,US,13.3
370,Jakob Poeltl,AT,20.8
371,Robert Woodard II,US,2.1
372,Keita Bates-Diop,US,12.4
373,Tre Jones,US,15.0
374,Jock Landale,AU,16.0
375,Romeo Langford,US,9.2
376,Shai Gilgeous-Alexander,CA,20.9
377,Luguentz Dort,CA,12.3
378,Darius Bazley,US,12.6
379,Lindy Waters III,US,13.0
380,Derrick Favors,US,13.6
381,Ty Jerome,US,11.3
382,Aleksej Pokusevski,RS,12.0
383,Aaron Wiggins,US,10.3
384,Isaiah Roby,US,18.3
385,Tre Mann,US,10.2
386,Vit Krejci,CZ,8.5
387,Mike Muscala,US,19.7
388,Kenrich Williams,US,13.3
389,Jeremiah Robinson-Earl,US,11.7
390,Armoni Brooks,US,8.4
391,Scottie Barnes,US,16.3
392,Precious Achiuwa,NG,12.7
393,Justin Champagnie,US,13.6
394,Svi Mykhailiuk,UA,9.6
395,Yuta Watanabe,JP,11.5
396,Thaddeus Young,US,17.0
397,Malachi Flynn,US,11.7
398,Malachi Flynn,US,11.7
399,Fred VanVleet,US,17.3
400,Khem Birch,CA,13.2
401,Khem Birch,CA,13.2
402,Chris Boucher,LC,17.9
403,Gary Trent Jr.,US,14.7
404,Pascal Siakam,CM,20.3
405,Dalano Banton,CA,10.0
406,Eric Paschall,US,13.9
407,Eric Paschall,US,13.9
408,Jordan Clarkson,US,14.9
409,Jordan Clarkson,US,14.9
410,Trent Forrest,US,10.9
411,Nickeil Alexander-Walker,CA,10.5
412,Rudy Gay,US,13.0
413,Mike Conley,US,17.2
414,Jared Butler,US,12.1
415,Xavier Sneed,US,0.4
416,Udoka Azubuike,NG,17.6
417,Hassan Whiteside,US,22.9
418,Royce O'Neale,US,10.3
419,Royce O'Neale,US,10.3
420,Danuel House Jr.,US,10.6
421,Rudy Gobert,FR,24.7
422,Donovan Mitchell,US,21.6
423,De'Anthony Melton,US,15.2
424,Kyle Anderson,US,14.4
425,Tyrell Terry,US,20.0
426,Steven Adams,NZ,17.6
427,Yves Pons,HT,5.9
428,Santi Aldama,ES,10.2
429,Ziaire Williams,US,9.7
430,Ja Morant,US,24.4
431,Jaren Jackson Jr.,US,17.0
432,Brandon Clarke,CA,23.7
433,Brandon Clarke,CA,23.7
434,Tyus Jones,US,16.5
435,Desmond Bane,US,17.6
436,Jarrett Culver,US,8.7
437,Dillon Brooks,CA,15.5
438,Killian Tillie,FR,7.6
439,John Konchar,US,14.0
440,Kentavious Caldwell-Pope,US,12.6
441,Bradley Beal,US,17.5
442,Ish Smith,US,12.5
443,Cassius Winston,US,6.0
444,Rui Hachimura,JP,14.9
445,Deni Avdija,IL,11.6
446,Thomas Bryant,US,16.6
447,Isaiah Todd,US,4.7
448,Anthony Gill,US,14.7
449,Anthony Gill,US,14.7
450,Raul Neto,BR,12.4
451,Daniel Gafford,US,21.8
452,Vernon Carey Jr.,US,15.8
453,Corey Kispert,US,10.9
454,Kyle Kuzma,US,15.2
455,Cade Cunningham,US,13.1
456,Carsen Edwards,US,5.5
457,Frank Jackson,US,10.6
458,Hamidou Diallo,US,15.7
459,Killian Hayes,US,9.3
460,Jerami Grant,US,16.1
461,Isaiah Livers,US,11.1
462,Kelly Olynyk,CA,16.7
463,Rodney McGruder,US,11.6
464,Braxton Key,US,13.7
465,Braxton Key,US,13.7
466,Cory Joseph,CA,11.4
467,Jamorko Pickett,US,7.6
468,Isaiah Stewart,US,14.0
469,Marvin Bagley III,US,15.7
470,Saben Lee,US,13.8
471,Saddiq Bey,US,14.0
472,Luka Garza,US,15.6
473,Miles Bridges,US,17.9
474,LaMelo Ball,US,19.7
475,Terry Rozier,US,17.6
476,Isaiah Thomas,US,12.0
477,James Bouknight,US,10.1
478,Jalen McDaniels,US,12.7
479,Montrezl Harrell,US,23.2
480,Cody Martin,US,12.7
481,Cody Martin,US,12.7
482,Kelly Oubre Jr.,US,14.9
483,Nick Richards,JM,15.9
484,Scottie Lewis,US,14.6
485,Gordon Hayward,US,15.1
486,JT Thor,US,9.7
487,Kai Jones,BS,9.2
488,Mason Plumlee,US,14.7
489,P.J. Washington,US,13.6
