,Player,From,To,Colleges,HTML Reference,Date,City,Country,State
74,DeSagana Diop,2002.0,2013.0,,/players/d/diopde01.html,"Jan 30, 1982",Dakar,SN,
75,Vlade Divac,1990.0,2005.0,,/players/d/divacvl01.html,"Feb 3, 1968",Prijepolje,RS,
76,Luka Doncic,2019.0,2023.0,,/players/d/doncilu01.html,"Feb 28, 1999",Ljubljana,SI,
77,Aleksandar Djordjevic,1997.0,1997.0,,/players/d/djordal01.html,"Aug 26, 1967",Belgrade,RS,
78,Sekou Doumbouya,2020.0,2022.0,,/players/d/doumbse01.html,"Dec 23, 2000",Conakry,GN,
79,Goran Dragic,2009.0,2023.0,,/players/d/dragigo01.html,"May 6, 1986",Ljubljana,SI,
80,Zoran Dragic,2015.0,2015.0,,/players/d/dragizo01.html,"Jun 22, 1989",Ljubljana,SI,
81,Predrag Drobnjak,2002.0,2005.0,,/players/d/drobnpr01.html,"Oct 27, 1975",Bijelo Polje,ME,
82,Penny Early,1969.0,1969.0,,/players/e/earlype01.html,,,,
83,Ndudi Ebi,2004.0,2005.0,,/players/e/ebind01.html,"Jun 18, 1984",London,GB,
84,Monta Ellis,2006.0,2017.0,,/players/e/ellismo01.html,"Oct 26, 1985",Jackson,US,MS
85,Semih Erden,2011.0,2012.0,,/players/e/erdense01.html,"Jul 28, 1986",Istanbul,TR,
86,Vincenzo Esposito,1996.0,1996.0,,/players/e/esposvi01.html,"Mar 1, 1969",Caserta,IT,
87,Dante Exum,2015.0,2021.0,,/players/e/exumda01.html,"Jul 13, 1995",Melbourne,AU,
88,Christian Eyenga,2011.0,2012.0,,/players/e/eyengch01.html,"Jun 22, 1989",Kinshasa,CD,
89,Vitor Luiz Faverani,2014.0,2014.0,,/players/f/favervi01.html,"May 5, 1988",Porto Alegre,BR,
90,Cristiano Felicio,2016.0,2021.0,,/players/f/feliccr01.html,"Jul 7, 1992",Pouso Alegre,BR,
91,Terrance Ferguson,2018.0,2021.0,,/players/f/fergute01.html,"May 17, 1998",Tulsa,US,OK
92,Rudy Fernandez,2009.0,2012.0,,/players/f/fernaru01.html,"Apr 4, 1985",Palma de Mallorca,ES,
93,Kyrylo Fesenko,2008.0,2012.0,,/players/f/fesenky01.html,"Dec 24, 1986",Dnepropetrovsk,UA,
94,Simone Fontecchio,2023.0,2023.0,,/players/f/fontesi01.html,"Dec 9, 1995",Pescara,IT,
95,Antonis Fotsis,2002.0,2002.0,,/players/f/fotsian01.html,"Apr 1, 1981",Athens,GR,
96,Evan Fournier,2013.0,2023.0,,/players/f/fournev01.html,"Oct 29, 1992",Saint-Maurice,FR,
97,Enes Freedom,2012.0,2022.0,,/players/k/kanteen01.html,"May 20, 1992",Zurich,CH,
98,Joel Freeland,2013.0,2015.0,,/players/f/freeljo01.html,"Feb 7, 1987",Farnham,GB,
99,Herm Fuetsch,1948.0,1948.0,,/players/f/fuetshe01.html,,,,
100,Gene Gallette,1947.0,1947.0,,/players/g/gillege01.html,"Feb 22, 1919",San Francisco,US,CA
101,Danilo Gallinari,2009.0,2022.0,,/players/g/gallida01.html,"Aug 8, 1988",Sant'Angelo Lodigiano,IT,
102,Jorge Garbajosa,2007.0,2008.0,,/players/g/garbajo01.html,"Dec 19, 1977",Madrid,ES,
103,Alex Garcia,2004.0,2005.0,,/players/g/garcial01.html,"Mar 4, 1980",Orlandia,BR,
104,Kevin Garnett,1996.0,2016.0,,/players/g/garneke01.html,"May 19, 1976",Greenville,US,SC
105,Usman Garuba,2022.0,2023.0,,/players/g/garubus01.html,"Mar 9, 2002",Azuqueca de Henares,ES,
106,Marc Gasol,2009.0,2021.0,,/players/g/gasolma01.html,"Jan 29, 1985",Barcelona,ES,
107,Pau Gasol,2002.0,2019.0,,/players/g/gasolpa01.html,"Jul 6, 1980",Barcelona,ES,
108,Mickael Gelabale,2007.0,2013.0,,/players/g/gelabmi01.html,"May 22, 1983",Pointe Noire,GP,
109,Josh Giddey,2022.0,2023.0,,/players/g/giddejo01.html,"Oct 10, 2002",Melbourne,AU,
110,Manu Ginobili,2003.0,2018.0,,/players/g/ginobma01.html,"Jul 28, 1977",Bahia Blanca,AR,
111,Gordan Giricek,2003.0,2008.0,,/players/g/giricgo01.html,"Jun 20, 1977",Zagreb,HR,
112,Georgi Glouchkov,1986.0,1986.0,,/players/g/gloucge01.html,"Jan 10, 1960",Triavna,BG,
113,Andreas Glyniadakis,2007.0,2007.0,,/players/g/glynian01.html,"Aug 21, 1981",Hania,GR,
114,Rudy Gobert,2014.0,2023.0,,/players/g/goberru01.html,"Jun 26, 1992",Saint-Quentin,FR,
115,Pop Goodwin,1947.0,1948.0,,/players/g/goodwpo01.html,"Dec 22, 1920",Brooklyn,US,NY
116,Marcin Gortat,2008.0,2019.0,,/players/g/gortama01.html,"Feb 17, 1984",Lodz,PL,
117,Leo Gottlieb,1947.0,1948.0,,/players/g/gottlle01.html,"Nov 28, 1920",New York,US,NY
118,Joe Graboski,1949.0,1962.0,,/players/g/grabojo01.html,,,,
119,Gerald Green,2006.0,2019.0,,/players/g/greenge01.html,"Jan 26, 1986",Houston,US,TX
120,Jalen Green,2022.0,2023.0,,/players/g/greenja05.html,"Feb 9, 2002",Merced,US,CA
121,Marko Guduric,2020.0,2020.0,,/players/g/gudurma01.html,"Mar 8, 1995",Priboj,RS,
122,Andres Guibert,1994.0,1995.0,,/players/g/guibean01.html,"Oct 28, 1968",Havana,CU,
123,Hamed Haddadi,2009.0,2013.0,,/players/h/haddaha01.html,"May 19, 1985",Ahvaz,IR,
124,Josh Hall,2021.0,2021.0,,/players/h/halljo01.html,"Oct 8, 2000",Greenville,US,NC
125,R.J. Hampton,2021.0,2023.0,,/players/h/hamptrj01.html,"Feb 7, 2001",Dallas,US,TX
126,Reggie Harding,1964.0,1968.0,,/players/h/hardire01.html,"May 4, 1942",Detroit,US,MI
127,Jaden Hardy,2023.0,2023.0,,/players/h/hardyja02.html,"Jul 5, 2002",Detroit,US,MI
128,Al Harrington,1999.0,2014.0,,/players/h/harrial01.html,"Feb 17, 1980",Orange,US,NJ
129,Isaiah Hartenstein,2019.0,2023.0,,/players/h/harteis01.html,"May 5, 1998",Eugene,US,OR
130,Killian Hayes,2021.0,2023.0,,/players/h/hayeski01.html,"Jul 27, 2001",Lakeland,US,FL
131,Shane Heal,1997.0,2004.0,,/players/h/healsh01.html,"Sep 6, 1970",Melbourne,AU,
132,Juancho Hernangomez,2017.0,2023.0,,/players/h/hernaju01.html,"Sep 28, 1995",Madrid,ES,
133,Willy Hernangomez,2017.0,2023.0,,/players/h/hernawi01.html,"May 27, 1994",Madrid,ES,
134,Walter Herrmann,2007.0,2009.0,,/players/h/herrmwa01.html,"Jun 26, 1979",Venado Tuerto,AR,
135,Mario Hezonja,2016.0,2020.0,,/players/h/hezonma01.html,"Feb 25, 1995",Dubrovnik,HR,
136,Nat Hickey,1948.0,1948.0,,/players/h/hickena01.html,"Jan 30, 1902",Hoboken,US,NJ
137,Nene,2003.0,2019.0,,/players/h/hilarne01.html,"Sep 13, 1982",Sao Carlos,BR,
138,Dwight Howard,2005.0,2022.0,,/players/h/howardw01.html,"Dec 8, 1985",Atlanta,US,GA
139,William Howard,2020.0,2020.0,,/players/h/howarwi01.html,"Oct 25, 1993",Montbrison,FR,
140,Marcelo Huertas,2016.0,2017.0,,/players/h/huertma01.html,"May 25, 1983",Sao Paulo,BR,
141,Serge Ibaka,2010.0,2023.0,,/players/i/ibakase01.html,"Sep 18, 1989",Brazzaville,CG,
142,Zydrunas Ilgauskas,1998.0,2011.0,,/players/i/ilgauzy01.html,"Jun 5, 1975",Kaunas,LT,
