,Player,Colleges,PER
271,Robin Lopez,Stanford,13.7
272,Wendell Carter Jr.,Duke,18.4
273,Cole Anthony,UNC,13.5
274,Gabe York,Arizona,12.7
275,Tyrese Haliburton,IowaState,18.2
276,Chris Duarte,Oregon,12.3
277,Duane Washington Jr.,OhioState,10.2
278,Lance Stephenson,Cincinnati,13.6
279,Malcolm Brogdon,Virginia,18.0
280,T.J. McConnell,Duquesne,15.1
281,T.J. McConnell,Arizona,15.1
282,Oshae Brissett,Syracuse,12.9
283,Isaiah Jackson,Kentucky,20.5
284,Buddy Hield,Oklahoma,12.9
285,Jalen Smith,Maryland,18.4
286,Terry Taylor,AustinPeayStateUniversity,19.0
287,Myles Turner,Texas,17.4
288,Goga Bitadze,MegaBasket,18.0
289,Ricky Rubio,FCBarcelona,14.0
290,Tyrese Maxey,Kentucky,16.2
291,James Harden,ArizonaState,20.9
292,Myles Powell,SetonHall,0.2
293,Isaiah Joe,Arkansas,7.7
294,Paul Millsap,LouisianaTech,10.8
295,DeAndre Jordan,TexasA&M,17.2
296,Jaden Springer,Tennessee,26.4
297,Tobias Harris,Tennessee,15.9
298,Danny Green,UNC,9.5
299,Charlie Brown Jr.,SaintJoseph's,6.5
300,Shake Milton,SMU,11.9
301,Georges Niang,IowaState,10.7
302,Joel Embiid,Kansas,31.2
303,Matisse Thybulle,Washington,11.2
304,Charles Bassey,WesternKentucky,21.5
305,Furkan Korkmaz,AnadoluEfes,10.2
306,Paul Reed,DePaul,21.4
307,JaVale McGee,Nevada,22.6
308,Torrey Craig,USCUpstate,11.0
309,Devin Booker,Kentucky,21.3
310,Elfrid Payton,Louisiana,7.9
311,Chris Paul,WakeForest,20.8
312,Aaron Holiday,UCLA,12.6
313,Ish Wainright,Baylor,9.4
314,Landry Shamet,WichitaState,10.2
315,Cameron Payne,MurrayState,13.8
316,Bismack Biyombo,BaloncestoFuenlabrada,17.3
317,Gabriel Lundberg,CSKAMoscow,7.7
318,Deandre Ayton,Arizona,21.9
319,Cameron Johnson,Pitt,15.2
320,Cameron Johnson,UNC,15.2
321,Mikal Bridges,Villanova,14.4
322,Jae Crowder,Marquette,11.3
323,Damian Lillard,WeberState,18.5
324,Anfernee Simons,EdgewaterHS(FL),15.3
325,Trendon Watford,LSU,15.8
326,Greg Brown III,Texas,11.0
327,Eric Bledsoe,Kentucky,12.5
328,Keon Johnson,Tennessee,8.7
329,Brandon Williams,Davidson,11.0
330,Brandon Williams,Davidson,11.0
331,Brandon Williams,Arizona,11.0
332,Brandon Williams,Arizona,11.0
333,Nassir Little,UNC,13.5
334,Josh Hart,Villanova,16.1
335,CJ Elleby,WashingtonState,9.2
336,Elijah Hughes,Syracuse,5.4
337,Elijah Hughes,EastCarolinaUniversity,5.4
338,Keljin Blevins,SouthernMiss,4.8
339,Keljin Blevins,MontanaState,4.8
340,Ben McLemore,Kansas,11.7
341,Justise Winslow,Duke,13.1
342,Didi Louzada,SydneyKings,6.4
343,Donte DiVincenzo,Villanova,11.3
344,Terence Davis,OleMiss,14.6
345,De'Aaron Fox,Kentucky,17.4
346,Chimezie Metu,USC,13.4
347,Maurice Harkless,St.John's,7.7
348,Justin Holiday,Washington,9.5
349,Domantas Sabonis,Gonzaga,21.9
350,Davion Mitchell,Auburn,10.8
351,Davion Mitchell,Baylor,10.8
352,Richaun Holmes,BowlingGreen,17.8
353,Alex Len,Maryland,13.1
354,Jeremy Lamb,UConn,13.3
355,Damian Jones,Vanderbilt,18.3
356,Harrison Barnes,UNC,15.7
357,Trey Lyles,Kentucky,16.4
358,Josh Jackson,Kansas,9.5
359,Neemias Queta,UtahStateUniversity,12.7
360,Lonnie Walker IV,Miami(FL),12.3
361,Keldon Johnson,Kentucky,15.2
362,Dejounte Murray,Washington,22.3
363,Josh Richardson,Tennessee,12.8
364,Joshua Primo,Alabama,7.1
365,Joe Wieskamp,Iowa,7.1
366,Doug McDermott,Creighton,11.4
367,Devontae Cacok,UNCWilmington,20.2
368,Zach Collins,Gonzaga,16.4
369,Devin Vassell,FloridaState,13.3
370,Jakob Poeltl,Utah,20.8
371,Robert Woodard II,MississippiState,2.1
372,Keita Bates-Diop,OhioState,12.4
373,Tre Jones,Duke,15.0
374,Jock Landale,SaintMary's,16.0
375,Romeo Langford,Indiana,9.2
376,Shai Gilgeous-Alexander,Kentucky,20.9
377,Luguentz Dort,ArizonaState,12.3
378,Darius Bazley,PrincetonHS(OH),12.6
379,Lindy Waters III,OklahomaState,13.0
380,Derrick Favors,GeorgiaTech,13.6
381,Ty Jerome,Virginia,11.3
382,Aleksej Pokusevski,Olympiacos,12.0
383,Aaron Wiggins,Maryland,10.3
384,Isaiah Roby,Nebraska,18.3
385,Tre Mann,Florida,10.2
386,Vit Krejci,Zaragoza,8.5
387,Mike Muscala,Bucknell,19.7
388,Kenrich Williams,TCU,13.3
389,Jeremiah Robinson-Earl,Villanova,11.7
390,Armoni Brooks,Houston,8.4
391,Scottie Barnes,FloridaState,16.3
392,Precious Achiuwa,Memphis,12.7
393,Justin Champagnie,Pitt,13.6
394,Svi Mykhailiuk,Kansas,9.6
395,Yuta Watanabe,GeorgeWashington,11.5
396,Thaddeus Young,GeorgiaTech,17.0
397,Malachi Flynn,WashingtonState,11.7
398,Malachi Flynn,SanDiegoState,11.7
399,Fred VanVleet,WichitaState,17.3
400,Khem Birch,Pitt,13.2
401,Khem Birch,UNLV,13.2
402,Chris Boucher,Oregon,17.9
403,Gary Trent Jr.,Duke,14.7
404,Pascal Siakam,NewMexicoState,20.3
405,Dalano Banton,Nebraska,10.0
406,Eric Paschall,Fordham,13.9
407,Eric Paschall,Villanova,13.9
408,Jordan Clarkson,Tulsa,14.9
409,Jordan Clarkson,Missouri,14.9
410,Trent Forrest,FloridaState,10.9
411,Nickeil Alexander-Walker,VirginiaTech,10.5
412,Rudy Gay,UConn,13.0
413,Mike Conley,OhioState,17.2
414,Jared Butler,Baylor,12.1
415,Xavier Sneed,KansasState,0.4
416,Udoka Azubuike,Kansas,17.6
417,Hassan Whiteside,Marshall,22.9
418,Royce O'Neale,Denver,10.3
419,Royce O'Neale,Baylor,10.3
420,Danuel House Jr.,TexasA&M,10.6
421,Rudy Gobert,Cholet,24.7
422,Donovan Mitchell,Louisville,21.6
423,De'Anthony Melton,USC,15.2
424,Kyle Anderson,UCLA,14.4
425,Tyrell Terry,Stanford,20.0
426,Steven Adams,Pitt,17.6
427,Yves Pons,Tennessee,5.9
428,Santi Aldama,Loyola(MD),10.2
429,Ziaire Williams,Stanford,9.7
430,Ja Morant,MurrayState,24.4
431,Jaren Jackson Jr.,MichiganState,17.0
432,Brandon Clarke,SanJoseState,23.7
433,Brandon Clarke,Gonzaga,23.7
434,Tyus Jones,Duke,16.5
435,Desmond Bane,TCU,17.6
436,Jarrett Culver,TexasTech,8.7
437,Dillon Brooks,Oregon,15.5
438,Killian Tillie,Gonzaga,7.6
439,John Konchar,Purdue-FortWayne,14.0
440,Kentavious Caldwell-Pope,Georgia,12.6
441,Bradley Beal,Florida,17.5
442,Ish Smith,WakeForest,12.5
443,Cassius Winston,MichiganState,6.0
444,Rui Hachimura,Gonzaga,14.9
445,Deni Avdija,MaccabiTelAviv,11.6
446,Thomas Bryant,Indiana,16.6
447,Isaiah Todd,NBAGLeagueIgnite,4.7
448,Anthony Gill,SouthCarolina,14.7
449,Anthony Gill,Virginia,14.7
450,Raul Neto,Murcia,12.4
451,Daniel Gafford,Arkansas,21.8
452,Vernon Carey Jr.,Duke,15.8
453,Corey Kispert,Gonzaga,10.9
454,Kyle Kuzma,Utah,15.2
455,Cade Cunningham,OklahomaState,13.1
456,Carsen Edwards,Purdue,5.5
457,Frank Jackson,Duke,10.6
458,Hamidou Diallo,Kentucky,15.7
459,Killian Hayes,RatiopharmUlm,9.3
460,Jerami Grant,Syracuse,16.1
461,Isaiah Livers,Michigan,11.1
462,Kelly Olynyk,Gonzaga,16.7
463,Rodney McGruder,KansasState,11.6
464,Braxton Key,Alabama,13.7
465,Braxton Key,Virginia,13.7
466,Cory Joseph,Texas,11.4
467,Jamorko Pickett,Georgetown,7.6
468,Isaiah Stewart,Washington,14.0
469,Marvin Bagley III,Duke,15.7
470,Saben Lee,Vanderbilt,13.8
471,Saddiq Bey,Villanova,14.0
472,Luka Garza,Iowa,15.6
473,Miles Bridges,MichiganState,17.9
474,LaMelo Ball,Illawarra,19.7
475,Terry Rozier,Louisville,17.6
476,Isaiah Thomas,Washington,12.0
477,James Bouknight,UConn,10.1
478,Jalen McDaniels,SanDiegoState,12.7
479,Montrezl Harrell,Louisville,23.2
480,Cody Martin,NCState,12.7
481,Cody Martin,Nevada,12.7
482,Kelly Oubre Jr.,Kansas,14.9
483,Nick Richards,Kentucky,15.9
484,Scottie Lewis,Florida,14.6
485,Gordon Hayward,Butler,15.1
486,JT Thor,Auburn,9.7
487,Kai Jones,Texas,9.2
488,Mason Plumlee,Duke,14.7
489,P.J. Washington,Kentucky,13.6
