,Unnamed: 0,Player,Player City,Country,Team City,PER,Player Int Full City,Lat,Lng
58,58,Neemias Queta,Lisbon,PT,Sacramento,12.7,"Lisbon, PT",38.7222524,-9.1393366
59,59,Joshua Primo,Mississauga,CA,San Antonio,7.1,"Mississauga, CA",43.5890452,-79.6441198
60,60,Jakob Poeltl,Vienna,AT,San Antonio,20.8,"Vienna, AT",48.2081743,16.3738189
61,61,Jock Landale,E Malvern,AU,San Antonio,16.0,"E Malvern, AU",,
62,62,Shai Gilgeous-Alexander,Toronto,CA,Oklahoma City,20.9,"Toronto, CA",43.653226,-79.3831843
63,63,Josh Giddey,Melbourne,AU,Oklahoma City,13.3,"Melbourne, AU",-37.8136276,144.9630576
64,64,Luguentz Dort,Montreal,CA,Oklahoma City,12.3,"Montreal, CA",45.5018869,-73.56739189999999
65,65,Aleksej Pokusevski,Belgrade,RS,Oklahoma City,12.0,"Belgrade, RS",44.8125449,20.46123
66,66,Vit Krejci,Strakonice,CZ,Oklahoma City,8.5,"Strakonice, CZ",49.2604043,13.9103085
67,67,Precious Achiuwa,Port Harcourt,NG,Toronto,12.7,"Port Harcourt, NG",4.847222599999999,6.974603999999999
68,68,Svi Mykhailiuk,Cherkasy,UA,Toronto,9.6,"Cherkasy, UA",49.444433,32.059767
69,69,Isaac Bonga,Neuwied,DE,Toronto,8.7,"Neuwied, DE",50.4361866,7.4664546
70,70,Yuta Watanabe,Yokohama,JP,Toronto,11.5,"Yokohama, JP",35.4436739,139.6379639
71,71,Khem Birch,Montreal,CA,Toronto,13.2,"Montreal, CA",45.5018869,-73.56739189999999
72,72,Chris Boucher,Castries,LC,Toronto,17.9,"Castries, LC",14.0101094,-60.98746869999999
73,73,Pascal Siakam,Douala,CM,Toronto,20.3,"Douala, CM",4.0510564,9.7678687
74,74,Dalano Banton,Toronto,CA,Toronto,10.0,"Toronto, CA",43.653226,-79.3831843
75,75,Nickeil Alexander-Walker,Toronto,CA,Utah,10.5,"Toronto, CA",43.653226,-79.3831843
76,76,Udoka Azubuike,Lagos,NG,Utah,17.6,"Lagos, NG",6.5243793,3.3792057
77,77,Rudy Gobert,Saint-Quentin,FR,Utah,24.7,"Saint-Quentin, FR",49.847066,3.2874
78,78,Steven Adams,Rotorua,NZ,Memphis,17.6,"Rotorua, NZ",-38.1445987,176.2377669
79,79,Yves Pons,Port-au-Prince,HT,Memphis,5.9,"Port-au-Prince, HT",18.594395,-72.3074326
80,80,Santi Aldama,Las Palmas,ES,Memphis,10.2,"Las Palmas, ES",28.1008837,-15.4653897
81,81,Brandon Clarke,Vancouver,CA,Memphis,23.7,"Vancouver, CA",49.2827291,-123.1207375
82,82,Dillon Brooks,Mississauga,CA,Memphis,15.5,"Mississauga, CA",43.5890452,-79.6441198
83,83,Killian Tillie,Cagnes-sur-Mer,FR,Memphis,7.6,"Cagnes-sur-Mer, FR",43.663739,7.14882
84,84,Rui Hachimura,Toyama,JP,Washington,14.9,"Toyama, JP",36.6958223,137.2137211
85,85,Deni Avdija,Beit Zera,IL,Washington,11.6,"Beit Zera, IL",32.689296,35.574062
86,86,Raul Neto,Belo Horizonte,BR,Washington,12.4,"Belo Horizonte, BR",-19.919052,-43.9386685
87,87,Kelly Olynyk,Toronto,CA,Detroit,16.7,"Toronto, CA",43.653226,-79.3831843
88,88,Cory Joseph,Toronto,CA,Detroit,11.4,"Toronto, CA",43.653226,-79.3831843
89,89,Nick Richards,Kingston,JM,Charlotte,15.9,"Kingston, JM",18.0178743,-76.8099041
90,90,Kai Jones,Nassau,BS,Charlotte,9.2,"Nassau, BS",25.0443312,-77.3503609
