Player,PER,Player Name,Height,Weight,Age,School,Team Name,City,Birth Month
Tony Bradley,14.9,Tony Bradley,82.0,248.0,24.0,North Carolina,Chicago Bulls,Chicago,JAN
Ignas Brazdeikis,10.2,Ignas Brazdeikis,78.0,221.0,23.0,Michigan,Orlando Magic,Orlando,JAN
Mikal Bridges,14.4,Mikal Bridges,78.0,209.0,25.0,Villanova,Phoenix Suns,Phoenix,AUG
Miles Bridges,17.9,Miles Bridges,79.0,225.0,24.0,Michigan State,Charlotte Hornets,Charlotte,MAR
Oshae Brissett,12.9,Oshae Brissett,79.0,210.0,24.0,Syracuse,Indiana Pacers,Indiana,JUN
Malcolm Brogdon,18.0,Malcolm Brogdon,77.0,229.0,29.0,Virginia,Indiana Pacers,Indiana,DEC
Armoni Brooks,8.4,Armoni Brooks,75.0,195.0,24.0,Houston,Toronto Raptors,Toronto,JUN
Dillon Brooks,15.5,Dillon Brooks,79.0,225.0,26.0,Oregon,Memphis Grizzlies,Memphis,JAN
Bruce Brown,15.0,Bruce Brown,76.0,202.0,25.0,Miami,Brooklyn Nets,Brooklyn,AUG
Charlie Brown Jr.,6.5,Charlie Brown Jr.,78.0,199.0,25.0,St. Joseph's (PA),Philadelphia 76ers,Philadelphia,FEB
Chaundee Brown Jr.,6.4,Chaundee Brown Jr.,77.0,215.0,23.0,Michigan,Atlanta Hawks,Atlanta,DEC
Greg Brown III,11.0,Greg Brown III,79.0,206.0,20.0,Texas,Portland Trail Blazers,Portland,SEP
Jaylen Brown,18.9,Jaylen Brown,78.0,223.0,25.0,California,Boston Celtics,Boston,OCT
Moses Brown,18.5,Moses Brown,86.0,245.0,22.0,UCLA,Cleveland Cavaliers,Cleveland,OCT
Sterling Brown,8.4,Sterling Brown,77.0,219.0,27.0,Southern Methodist,Dallas Mavericks,Dallas,FEB
Troy Brown Jr.,10.1,Troy Brown Jr.,78.0,215.0,22.0,Oregon,Chicago Bulls,Chicago,JUL
Jalen Brunson,17.1,Jalen Brunson,73.0,190.0,25.0,Villanova,Dallas Mavericks,Dallas,AUG
Thomas Bryant,16.6,Thomas Bryant,82.0,248.0,24.0,Indiana,Washington Wizards,Washington,JUL
Reggie Bullock,9.2,Reggie Bullock,78.0,205.0,31.0,North Carolina,Dallas Mavericks,Dallas,MAR
Trey Burke,10.0,Trey Burke,72.0,185.0,29.0,Michigan,Dallas Mavericks,Dallas,NOV
Alec Burks,13.7,Alec Burks,78.0,214.0,30.0,Colorado,New York Knicks,New York,JUL
Jared Butler,12.1,Jared Butler,75.0,193.0,21.0,Baylor,Utah Jazz,Utah,AUG
Jimmy Butler,23.6,Jimmy Butler,79.0,230.0,32.0,Marquette,Miami Heat,Miami,SEP
Devontae Cacok,20.2,Devontae Cacok,79.0,240.0,25.0,North Carolina-Wilmington,San Antonio Spurs,San Antonio,OCT
Kentavious Caldwell-Pope,12.6,Kentavious Caldwell-Pope,77.0,204.0,29.0,Georgia,Washington Wizards,Washington,FEB
Facundo Campazzo,11.1,Facundo Campazzo,70.0,195.0,31.0,Murcia,Denver Nuggets,Denver,MAR
Devin Cannady,8.6,Devin Cannady,74.0,183.0,26.0,Princeton,Orlando Magic,Orlando,MAY
Clint Capela,21.4,Clint Capela,82.0,256.0,28.0,Elan Chalon,Atlanta Hawks,Atlanta,MAY
Vernon Carey Jr.,15.8,Vernon Carey Jr.,81.0,270.0,21.0,Duke,Washington Wizards,Washington,FEB
Jevon Carter,9.6,Jevon Carter,73.0,200.0,26.0,West Virginia,Milwaukee Bucks,Milwaukee,SEP
Wendell Carter Jr.,18.4,Wendell Carter Jr.,82.0,270.0,23.0,Duke,Orlando Magic,Orlando,APR
Alex Caruso,11.7,Alex Caruso,77.0,186.0,28.0,Texas A&M,Chicago Bulls,Chicago,FEB
Justin Champagnie,13.6,Justin Champagnie,78.0,206.0,21.0,Pittsburgh,Toronto Raptors,Toronto,JUN
Chris Chiozza,4.4,Chris Chiozza,71.0,175.0,26.0,Florida,Golden State Warriors,Golden State,NOV
Marquese Chriss,14.8,Marquese Chriss,81.0,240.0,24.0,Washington,Dallas Mavericks,Dallas,JUL
Josh Christopher,12.2,Josh Christopher,75.0,215.0,20.0,Arizona State,Houston Rockets,Houston,DEC
Gary Clark,11.4,Gary Clark,78.0,225.0,27.0,Cincinnati,New Orleans Pelicans,New Orleans,NOV
Brandon Clarke,23.7,Brandon Clarke,80.0,215.0,25.0,Gonzaga,Memphis Grizzlies,Memphis,SEP
Jordan Clarkson,14.9,Jordan Clarkson,76.0,194.0,30.0,Missouri,Utah Jazz,Utah,JUN
Nic Claxton,18.6,Nic Claxton,83.0,215.0,23.0,Georgia,Brooklyn Nets,Brooklyn,APR
Amir Coffey,13.0,Amir Coffey,79.0,210.0,25.0,Minnesota,Los Angeles Clippers,Los Angeles,JUN
John Collins,18.7,John Collins,81.0,226.0,24.0,Wake Forest,Atlanta Hawks,Atlanta,SEP
Zach Collins,16.4,Zach Collins,83.0,250.0,24.0,Gonzaga,San Antonio Spurs,San Antonio,NOV
Mike Conley,17.2,Mike Conley,73.0,175.0,34.0,Ohio State,Utah Jazz,Utah,OCT
Pat Connaughton,13.4,Pat Connaughton,77.0,209.0,29.0,Notre Dame,Milwaukee Bucks,Milwaukee,JAN
Tyler Cook,13.0,Tyler Cook,80.0,255.0,24.0,Iowa,Chicago Bulls,Chicago,SEP
Sharife Cooper,-5.4,Sharife Cooper,73.0,176.0,21.0,Auburn,Atlanta Hawks,Atlanta,JUN
DeMarcus Cousins,18.2,DeMarcus Cousins,82.0,270.0,31.0,Kentucky,Denver Nuggets,Denver,AUG
Robert Covington,12.4,Robert Covington,79.0,209.0,31.0,Tennessee State,Los Angeles Clippers,Los Angeles,DEC
