,Player,Yrs,From,To,Date,City,Country
6,Anthony Bennett,4,2014,2017,"Mar 14, 1993",Toronto,CA
7,Sim Bhullar,1,2015,2015,"Dec 2, 1992",Toronto,CA
8,Khem Birch,6,2018,2023,"Sep 28, 1992",Montreal,CA
9,Oshae Brissett,4,2020,2023,"Jun 20, 1998",Toronto,CA
10,Dillon Brooks,6,2018,2023,"Jan 22, 1996",Mississauga,CA
11,Brandon Clarke,4,2020,2023,"Sep 19, 1996",Vancouver,CA
12,Ron Crevier,1,1986,1986,"Apr 14, 1958",Montreal,CA
13,Bobby Croft,1,1971,1971,"Mar 17, 1946",Hamilton,CA
14,Nate Darling,1,2021,2021,"Aug 30, 1998",Halifax,CA
15,Luguentz Dort,4,2020,2023,"Apr 19, 1999",Montreal,CA
16,Chris Duarte,2,2022,2023,"Jun 13, 1997",Montreal,CA
17,Tyler Ennis,4,2015,2018,"Aug 24, 1994",Brampton,CA
18,Rick Fox,13,1992,2004,"Jul 24, 1969",Toronto,CA
19,Shai Gilgeous-Alexander,5,2019,2023,"Jul 12, 1998",Toronto,CA
20,,,,,,,CA
21,Stewart Granger,3,1984,1987,"Oct 27, 1961",Montreal,CA
22,Bob Houbregs*,5,1954,1958,"Mar 12, 1932",Vancouver,CA
23,Caleb Houstan,1,2023,2023,"Jan 9, 2003",Mississauga,CA
24,Cory Joseph,12,2012,2023,"Aug 20, 1991",Toronto,CA
25,Kris Joseph,1,2013,2013,"Dec 17, 1988",Montreal,CA
26,Mfiondu Kabengele,2,2020,2021,"Aug 14, 1997",Toronto,CA
27,Trey Lyles,8,2016,2023,"Nov 5, 1995",Saskatoon,CA
28,Todd MacCulloch,4,2000,2003,"Jan 27, 1976",Winnipeg,CA
29,Jamaal Magloire,12,2001,2012,"May 21, 1978",Toronto,CA
30,Bennedict Mathurin,1,2023,2023,"Jun 19, 2002",Montreal,CA
31,Naz Mitrou-Long,3,2018,2020,"Aug 3, 1993",Mississauga,CA
32,Mychal Mulder,3,2020,2022,"Jun 12, 1994",Etobicoke,CA
33,Jamal Murray,6,2017,2023,"Feb 23, 1997",Kitchener,CA
34,Andrew Nembhard,1,2023,2023,"Jan 16, 2000",Aurora,CA
35,Andrew Nicholson,5,2013,2017,"Dec 8, 1989",Mississauga,CA
36,Kelly Olynyk,10,2014,2023,"Apr 19, 1991",Toronto,CA
37,Kevin Pangos,1,2022,2022,"Jan 26, 1993",Holland Landing,CA
38,Dwight Powell,9,2015,2023,"Jul 20, 1991",Toronto,CA
39,Joshua Primo,2,2022,2023,"Dec 24, 2002",Mississauga,CA
40,Xavier Rathan-Mayes,1,2018,2018,"Apr 29, 1994",Scarborough,CA
41,,,,,,,CA
42,Leo Rautins,2,1984,1985,"Mar 20, 1960",Toronto,CA
43,Shaedon Sharpe,1,2023,2023,"May 30, 2003",London,CA
44,Marial Shayok,1,2020,2020,"Jul 26, 1995",Ottawa,CA
45,Mike Smrek,7,1986,1992,"Aug 31, 1962",Welland,CA
46,Gino Sovran,1,1947,1947,"Dec 17, 1924",Windsor,CA
47,Nik Stauskas,6,2015,2022,"Oct 7, 1993",Mississauga,CA
48,Tristan Thompson,11,2012,2022,"Mar 13, 1991",Toronto,CA
49,Ernie Vandeweghe,6,1950,1956,"Sep 12, 1928",Montreal,CA
50,Bill Wennington,13,1986,2000,"Apr 26, 1963",Montreal,CA
51,Andrew Wiggins,9,2015,2023,"Feb 23, 1995",Toronto,CA
52,Lindell Wigginton,1,2022,2022,"Mar 28, 1998",Halifax,CA
53,Jim Zoet,1,1983,1983,"Dec 20, 1953",Uxbridge,CA
0,Edy Tavares,2,2016,2017,"Mar 22, 1992",Maio,CV
0,Mengke Bateer,3,2002,2004,"Nov 20, 1975",Beijing,CN
1,Yi Jianlian,5,2008,2012,"Oct 27, 1987",He Shan,CN
2,Tom Meschery,10,1962,1971,"Oct 26, 1938",Harbin Manchuria,CN
3,Yao Ming*,8,2003,2011,"Sep 12, 1980",Shanghai,CN
4,Zhou Qi,2,2018,2019,"Jan 16, 1996",Henan,CN
5,Sun Yue,1,2009,2009,"Nov 6, 1985",Hebei,CN
6,Wang Zhizhi,5,2001,2005,"Jul 8, 1977",Beijing,CN
0,Jaime Echenique,1,2022,2022,"Apr 27, 1997",Barranquilla,CO
0,Duje Dukan,1,2016,2016,"Dec 4, 1991",Split,HR
1,Gordan Giriček,6,2003,2008,"Jun 20, 1977",Zagreb,HR
2,Mario Hezonja,5,2016,2020,"Feb 25, 1995",Dubrovnik,HR
3,Mario Kasun,2,2005,2006,"Apr 5, 1980",Split,HR
4,Toni Kukoč*,13,1994,2006,"Sep 18, 1968",Split,HR
5,Kosta Perović,1,2008,2008,"Feb 19, 1985",Osijek,HR
6,Dražen Petrović*,4,1990,1993,"Oct 22, 1964",Sibenik,HR
7,Dino Radja*,4,1994,1997,"Apr 24, 1967",Split,HR
8,Damjan Rudež,3,2015,2017,"Jun 17, 1986",Zagreb,HR
9,Luka Šamanić,2,2020,2021,"Jan 9, 2000",Zagreb,HR
10,Dario Šarić,6,2017,2023,"Apr 8, 1994",Sibenik,HR
11,Predrag Savović,1,2003,2003,"May 21, 1976",Pula,HR
12,Peja Stojaković,13,1999,2011,"Jun 9, 1977",Slavonska Pozega,HR
13,Bruno Šundov,7,1999,2005,"Feb 10, 1980",Split,HR
14,Žan Tabak,6,1995,2001,"Jun 15, 1970",Split,HR
15,Roko Ukić,2,2009,2010,"May 12, 1984",Split,HR
16,Stojko Vranković,5,1991,1999,"Jan 22, 1964",Drnis,HR
17,Ante Žižić,3,2018,2020,"Jan 4, 1997",Split,HR
0,Lazaro Borrell,1,2000,2000,"Sep 20, 1972",Santa Clara,CU
1,Al Cueto,2,1970,1971,"Aug 2, 1946",Havana,CU
2,Andrés Guibert,2,1994,1995,"Oct 28, 1968",Havana,CU
0,Vit Krejci,2,2022,2023,"Jun 19, 2000",Strakonice,CZ
1,Tomáš Satoranský,6,2017,2022,"Oct 30, 1991",Prague,CZ
2,Jan Veselý,3,2012,2014,"Apr 24, 1990",Ostrava,CZ
3,Jiří Welsch,4,2003,2006,"Jan 27, 1980",Pardubice,CZ
4,George Zídek,3,1996,1998,"Aug 2, 1973",Zlin,CZ
0,Bismack Biyombo,12,2012,2023,"Aug 28, 1992",Lubumbashi,CD
1,Christian Eyenga,2,2011,2012,"Jun 22, 1989",Kinshasa,CD
2,D.J. Mbenga,7,2005,2011,"Dec 30, 1980",Kinshasa,CD
3,Jonathan Kuminga,2,2022,2023,"Oct 6, 2002",Goma,CD
4,Emmanuel Mudiay,6,2016,2022,"Mar 5, 1996",Kinshasa,CD
5,Dikembe Mutombo*,18,1992,2009,"Jun 25, 1966",Kinshasa,CD
0,Lars Hansen,1,1979,1979,"Sep 14, 1954",Copenhagen,DK
1,Gabriel Lundberg,1,2022,2022,"Dec 4, 1994",Copenhagen,DK
0,Garth Joseph,1,2001,2001,"Aug 8, 1973",Roseau,DM
0,Ángel Delgado,1,2019,2019,"Nov 20, 1994",Santo Domingo,DO
1,Luis Flores,1,2005,2005,"Apr 11, 1981",San Pedro de Macoris,DO
2,Francisco García,10,2006,2015,"Dec 31, 1981",Santo Domingo,DO
3,Al Horford,16,2008,2023,"Jun 3, 1986",Puerto Plata,DO
4,Tito Horford,3,1989,1994,"Jan 19, 1966",La Romana,DO
5,Felipe López,4,1999,2002,"Dec 19, 1974",Santo Domingo,DO
6,Luis Montero,2,2016,2018,"Apr 6, 1993",Santo Domingo,DO
0,Alaa Abdelnaby,5,1991,1995,"Jun 24, 1968",Cairo,EG
1,Abdel Nader,5,2018,2022,"Sep 25, 1993",Alexandria,EG
0,Martin Müürsepp,2,1997,1998,"Sep 26, 1974",Tallinn,EE
0,Lauri Markkanen,6,2018,2023,"May 22, 1997",Vantaa,FI
1,Hanno Möttölä,2,2001,2002,"Sep 9, 1976",Helsinki,FI
0,Tariq Abdul-Wahad,6,1998,2003,"Nov 3, 1974",Maisons Alfort,FR
1,Alexis Ajinça,7,2009,2017,"May 6, 1988",Saint-Etienne,FR
2,Joel Ayayi,1,2022,2022,"Mar 5, 2000",Bordeaux,FR
3,Nicolas Batum,15,2009,2023,"Dec 14, 1988",Lisieux,FR
4,Petr Cornelie,1,2022,2022,"Jul 26, 1995",Calais,FR
5,Nando De Colo,2,2013,2014,"Jun 23, 1987",Sainte-Catherine-les-Arras,FR
6,Moussa Diabaté,1,2023,2023,"Jan 21, 2002",Paris,FR
7,Boris Diaw,14,2004,2017,"Apr 16, 1982",Cormeilles-en-Parisis,FR
8,Yakhouba Diawara,4,2007,2010,"Aug 29, 1982",Paris,FR
9,Ousmane Dieng,1,2023,2023,"May 21, 2003",Villeneuve-sur-Lot,FR
10,Evan Fournier,11,2013,2023,"Oct 29, 1992",Saint-Maurice,FR
11,Rudy Gobert,10,2014,2023,"Jun 26, 1992",Saint-Quentin,FR
12,Jaylen Hoard,3,2020,2022,"Mar 30, 1999",Le Havre,FR
13,William Howard,1,2020,2020,"Oct 25, 1993",Montbrison,FR
14,Joffrey Lauvergne,4,2015,2018,"Sep 30, 1991",Mulhouse,FR
15,Timothé Luwawu-Cabarrot,6,2017,2022,"May 9, 1995",Cannes,FR
16,Ian Mahinmi,12,2008,2020,"Nov 5, 1986",Rouen,FR
17,Théo Maledon,3,2021,2023,"Jun 12, 2001",Rouen,FR
18,Cozell McQueen,1,1987,1987,"Jan 18, 1962",Paris,FR
19,Jérôme Moïso,5,2001,2005,"Jun 15, 1978",Paris,FR
20,,,,,,,FR
21,Adam Mokoka,2,2020,2021,"Jul 18, 1998",Paris,FR
22,Erik Murphy,1,2014,2014,"Oct 26, 1990",Lyon,FR
23,Elie Okobo,2,2019,2020,"Oct 23, 1997",Bordeaux,FR
24,Johan Petro,8,2006,2013,"Jan 27, 1986",Paris,FR
25,Vincent Poirier,2,2020,2021,"Oct 17, 1993",Clamart,FR
26,Antoine Rigaudeau,1,2003,2003,"Dec 17, 1971",Cholet,FR
27,Olivier Sarr,1,2022,2022,"Feb 20, 1999",Niort,FR
28,Michael Stewart,8,1998,2005,"Apr 25, 1975",Cucq-Trepied-Stella-Plage,FR
29,Pape Sy,1,2011,2011,"Apr 5, 1988",Loudeac,FR
30,Killian Tillie,2,2021,2022,"Mar 5, 1998",Cagnes-sur-Mer,FR
31,Axel Toupane,3,2016,2021,"Jul 23, 1992",Mulhouse,FR
32,Dominique Wilkins*,15,1983,1999,"Jan 12, 1960",Paris,FR
33,Guerschon Yabusele,2,2018,2019,"Dec 17, 1995",Dreux,FR
0,Damien Inglis,1,2016,2016,"May 20, 1995",Cayenne,GF
1,Kevin Séraphin,7,2011,2017,"Dec 7, 1989",Cayenne,GF
0,Stéphane Lasme,1,2008,2008,"Dec 17, 1982",Port-Gentil,GA
1,Chris Silva,3,2020,2022,"Sep 19, 1996",Libreville,GA
0,Goga Bitadze,4,2020,2023,"Jul 20, 1999",Sagarejo,GE
1,Zaza Pachulia,16,2004,2019,"Feb 10, 1984",Tbilisi,GE
2,Tornike Shengelia,2,2013,2014,"Oct 5, 1991",Tbilisi,GE
3,Vladimir Stepania,6,1999,2004,"May 8, 1976",,GE
4,Jake Tsakalidis,7,2001,2007,"Jun 10, 1979",Rustavi,GE
5,Nikoloz Tskitishvili,4,2003,2006,"Apr 14, 1983",Tbilisi,GE
0,Dalibor Bagarić,3,2001,2003,"Feb 7, 1980",Munich,DE
1,Uwe Blab,5,1986,1990,"Mar 26, 1962",Munich,DE
2,Isaac Bonga,4,2019,2022,"Nov 8, 1999",Neuwied,DE
3,Carlos Boozer,13,2003,2015,"Nov 20, 1981",Aschaffenburg,DE
4,Shawn Bradley,12,1994,2005,"Mar 22, 1972",Landstuhl,DE
5,John Brown,7,1974,1980,"Dec 14, 1951",Frankfurt,DE
6,Kenton Edelin,1,1985,1985,"May 24, 1962",Heidelburg,DE
7,Jo Jo English,3,1993,1995,"Feb 4, 1970",Frankfurt,DE
8,Frido Frey,1,1947,1947,"Oct 26, 1921",,DE
9,Donté Greene,4,2009,2012,"Feb 21, 1988",Munich,DE
10,Elias Harris,1,2014,2014,"Jul 6, 1989",Speyer,DE
11,Charlie Hoefer,2,1947,1948,"Sep 16, 1921",Frankfort,DE
12,Maxi Kleber,6,2018,2023,"Jan 29, 1992",Wurzburg,DE
13,Dirk Nowitzki,21,1999,2019,"Jun 19, 1978",Wurzburg,DE
14,Tim Ohlbrecht,1,2013,2013,"Aug 30, 1988",Wuppertal,DE
15,Tibor Pleiß,1,2016,2016,"Nov 2, 1989",Bergisch Gladbach,DE
16,Anthony Randolph,6,2009,2014,"Jul 15, 1989",Wurzbach,DE
17,Detlef Schrempf,16,1986,2001,"Jan 21, 1963",Leverkusen,DE
18,Dennis Schröder,9,2014,2022,"Sep 15, 1993",Braunschweig,DE
19,Daniel Theis,5,2018,2022,"Apr 4, 1992",Salzgitter,DE
20,,,,,,,DE
21,Kiki Vandeweghe,13,1981,1993,"Aug 1, 1958",Wiesbaden,DE
22,Franz Wagner,2,2022,2023,"Aug 27, 2001",Berlin,DE
23,Moritz Wagner,4,2019,2022,"Apr 26, 1997",Berlin,DE
24,Duane Washington,2,1988,1993,"Aug 31, 1964",Eschwege,DE
25,Duane Washington Jr.,2,2022,2023,"Mar 24, 2000",Frankfurt,DE
26,Chris Welp,3,1988,1990,"Jan 2, 1964",Delmenhorst,DE
27,Paul Zipser,2,2017,2018,"Feb 18, 1994",Heidelberg,DE
0,Ben Bentil,1,2017,2017,"Mar 29, 1995",,GH
1,Amida Brimah,1,2021,2021,"Feb 11, 1994",Accra,GH
0,Giannis Antetokounmpo,10,2014,2023,"Dec 6, 1994",Athens,GR
1,Kostas Antetokounmpo,3,2019,2021,"Nov 20, 1997",Athens,GR
2,Thanasis Antetokounmpo,5,2016,2023,"Jul 18, 1992",Athens,GR
3,Antonis Fotsis,1,2002,2002,"Apr 1, 1981",Athens,GR
4,Andreas Glyniadakis,1,2007,2007,"Aug 21, 1981",Hania,GR
5,Georgios Kalaitzakis,1,2022,2022,"Jan 2, 1999",Heraklion,GR
6,Georgios Papagiannis,2,2017,2018,"Jul 3, 1997",Amarousio,GR
7,Kostas Papanikolaou,2,2015,2016,"Jul 31, 1990",Trikala,GR
8,Efthimios Rentzias,1,2003,2003,"Jan 11, 1976",Trikala,GR
9,Vassilis Spanoulis,1,2007,2007,"Aug 7, 1982",Larissa,GR
0,Rodrigue Beaubois,4,2010,2013,"Feb 24, 1988",Pointe-a-Pitre,GP
1,Mickaël Gelabale,3,2007,2013,"May 22, 1983",Pointe Noire,GP
2,Mickaël Piétrus,10,2004,2013,"Feb 7, 1982",Les Abymes,GP
0,Mamadi Diakite,2,2021,2022,"Jan 21, 1997",Conakry,GN
1,Sekou Doumbouya,3,2020,2022,"Dec 23, 2000",Conakry,GN
0,Rawle Marshall,2,2006,2007,"Feb 20, 1982",Georgetown,GY
1,Jason Miskiri,1,2000,2000,"Aug 19, 1975",Georgetown,GY
0,Samuel Dalembert,13,2002,2015,"May 10, 1981",Port-Au-Prince,HT
1,Yvon Joseph,1,1986,1986,"Oct 31, 1957",Cap-Haitian,HT
2,Skal Labissière,4,2017,2020,"Mar 18, 1996",Port-au-Prince,HT
3,Olden Polynice,15,1988,2004,"Nov 21, 1964",Port-au-Prince,HT
4,Yves Pons,1,2022,2022,"May 7, 1999",Port-au-Prince,HT
0,Kornél Dávid,3,1999,2001,"Oct 22, 1971",,HU
0,Pétur Guðmundsson,4,1982,1989,"Oct 30, 1958",Reykjavik,IS
0,Pat Burke,3,2003,2007,"Dec 14, 1973",Dublin,IE
0,Hamed Haddadi,5,2009,2013,"May 19, 1985",Ahvaz,IR
0,Deni Avdija,3,2021,2023,"Jan 3, 2001",Beit Zera,IL
1,Omri Casspi,10,2010,2019,"Jun 22, 1988",Holon,IL
2,T.J. Leaf,4,2018,2021,"Apr 30, 1997",Tel Aviv,IL
3,Gal Mekel,2,2014,2015,"Mar 4, 1988",Petah Tikva,IL
0,Andrea Bargnani,10,2007,2016,"Oct 26, 1985",Rome,IT
1,Marco Belinelli,13,2008,2020,"Mar 25, 1986",San Giovanni in Persiceto,IT
2,Hank Biasatti,1,1947,1947,"Jan 14, 1922",Beano,IT
3,Gigi Datome,2,2014,2015,"Nov 27, 1987",Montebelluna,IT
4,Vincenzo Esposito,1,1996,1996,"Mar 1, 1969",Caserta,IT
5,Simone Fontecchio,1,2023,2023,"Dec 9, 1995",Pescara,IT
6,Danilo Gallinari,13,2009,2022,"Aug 8, 1988",Sant'Angelo Lodigiano,IT
7,Reggie Jackson,12,2012,2023,"Apr 16, 1990",Pordenone,IT
8,Nico Mannion,1,2021,2021,"Mar 14, 2001",Siena,IT
9,Nicolò Melli,2,2020,2021,"Jan 26, 1991",Reggio Emilia,IT
10,Stefano Rusconi,1,1996,1996,"Oct 2, 1968",Bassano del Grappa,IT
0,Patrick Ewing*,17,1986,2002,"Aug 5, 1962",Kingston,JM
1,Omari Johnson,1,2018,2018,"Nov 26, 1989",Kingston,JM
2,Jerome Jordan,2,2012,2015,"Sep 29, 1986",Kingston,JM
3,Nick Richards,3,2021,2023,"Nov 29, 1997",Kingston,JM
4,Rumeal Robinson,6,1991,1997,"Nov 13, 1966",Mandeville,JM
5,Samardo Samuels,3,2011,2013,"Jan 9, 1989",Trelawny,JM
6,Wayne Sappleton,1,1985,1985,"Nov 17, 1960",Kingston,JM
7,Gary Voce,1,1990,1990,"Nov 24, 1965",,JM
0,Rui Hachimura,4,2020,2023,"Feb 8, 1998",Toyama,JP
1,Yuta Tabuse,1,2005,2005,"Oct 5, 1980",Yokohama,JP
2,Cam Thomas,2,2022,2023,"Oct 13, 2001",Yokosuka,JP
3,Yuta Watanabe,5,2019,2023,"Oct 13, 1994",Yokohama,JP
0,Dairis Bertāns,1,2019,2019,"Sep 9, 1989",Valmiera,LV
1,Dāvis Bertāns,6,2017,2022,"Nov 12, 1992",Valmiera,LV
2,Andris Biedriņš,10,2005,2014,"Apr 2, 1986",Riga,LV
3,Rodions Kurucs,3,2019,2021,"Feb 5, 1998",Cesis,LV
4,Anžejs Pasečņiks,2,2020,2021,"Dec 20, 1995",Riga,LV
5,Kristaps Porziņģis,7,2016,2023,"Aug 2, 1995",Liepaja,LV
6,Gundars Vētra,1,1993,1993,"May 22, 1967",Ventspils,LV
0,Steve Kerr,15,1989,2003,"Sep 27, 1965",Beirut,LB
1,Rony Seikaly,11,1989,1999,"May 10, 1965",Beirut,LB
0,Martynas Andriuškevičius,1,2006,2006,"Mar 12, 1986",Kaunas,LT
1,Ignas Brazdeikis,3,2020,2022,"Jan 8, 1999",Kaunas,LT
2,Zydrunas Ilgauskas,13,1998,2011,"Jun 5, 1975",Kaunas,LT
3,Šarūnas Jasikevičius,2,2006,2007,"Mar 5, 1976",Kaunas,LT
4,Linas Kleiza,7,2006,2013,"Jan 3, 1985",Kaunas,LT
5,Arnoldas Kulboka,1,2022,2022,"Jan 4, 1998",Marijampoles,LT
6,Mindaugas Kuzminskas,2,2017,2018,"Oct 19, 1989",Vilnius,LT
7,Arvydas Macijauskas,1,2006,2006,"Jan 19, 1980",Klaipeda,LT
8,Šarūnas Marčiulionis*,7,1990,1997,"Jun 13, 1964",Kaunas,LT
9,Donatas Motiejūnas,6,2013,2019,"Sep 20, 1990",Kaunas,LT
10,Arvydas Sabonis*,7,1996,2003,"Dec 19, 1964",Kaunas,LT
11,Deividas Sirvydis,2,2021,2022,"Jun 10, 2000",Vilnius,LT
12,Darius Songaila,8,2004,2011,"Feb 14, 1978",Marijampole,LT
13,Jonas Valančiūnas,11,2013,2023,"May 6, 1992",Utena,LT
0,Alvin Jones,1,2002,2002,"Sep 9, 1978",Luxembourg,LU
0,Cheick Diallo,5,2017,2022,"Sep 13, 1996",Kayes,ML
1,Soumaila Samake,2,2001,2003,"Mar 18, 1978",Bougouni,ML
0,Ronny Turiaf,10,2006,2015,"Jan 13, 1983",Le Robert,MQ
0,Gustavo Ayón,3,2012,2014,"Apr 1, 1985",Tepic,MX
1,Jorge Gutiérrez,3,2014,2016,"Dec 27, 1988",Chihuahua,MX
2,Horacio Llamas,2,1997,1998,"Jul 17, 1973",El Rosario,MX
3,Eduardo Nájera,12,2001,2012,"Jul 11, 1976",Meoqui,MX
0,Predrag Drobnjak,4,2002,2005,"Oct 27, 1975",Bijelo Polje,ME
1,Nikola Mirotić,5,2015,2019,"Feb 11, 1991",Podgorica,ME
2,Žarko Paspalj,1,1990,1990,"Mar 27, 1966",Pljevlja,ME
3,Sasha Pavlović,10,2004,2013,"Nov 15, 1983",Bar,ME
4,Nikola Peković,6,2011,2016,"Jan 3, 1986",Bijelo Polje,ME
5,Aleksandar Radojević,2,2000,2005,"Aug 8, 1976",Herceg Novi,ME
6,Marko Simonovic,2,2022,2023,"Oct 15, 1999",Kolašin,ME
0,Mike Flynn,3,1976,1978,"Jul 31, 1953",Casablanca,MA
0,Hank Beenders,3,1947,1949,"Jun 2, 1916",Haarlem,NL
1,Francisco Elson,9,2004,2012,"Feb 28, 1976",Rotterdam,NL
2,Dan Gadzuric,10,2003,2012,"Feb 2, 1978",Den Haag,NL
3,Geert Hammink,3,1994,1996,"Jul 12, 1969",Didam,NL
4,Swen Nater,11,1974,1984,"Jan 14, 1950",Den Helder,NL
5,Rik Smits,12,1989,2000,"Aug 23, 1966",Eindhoven,NL
0,Steven Adams,10,2014,2023,"Jul 20, 1993",Rotorua,NZ
1,Aron Baynes,9,2013,2021,"Dec 9, 1986",Gisborne,NZ
2,Sean Marks,11,1999,2011,"Aug 23, 1975",Auckland,NZ
3,Kirk Penney,2,2004,2005,"Nov 23, 1980",Auckland,NZ
0,Precious Achiuwa,3,2021,2023,"Sep 19, 1999",Port Harcourt,NG
1,Solomon Alabi,2,2011,2012,"Mar 21, 1988",Kaduna,NG
2,Peter Aluma,1,1999,1999,"Apr 23, 1973",Lagos,NG
3,Udoka Azubuike,3,2021,2023,"Sep 17, 1999",Lagos,NG
4,Charles Bassey,1,2022,2022,"Oct 28, 2000",Lagos,NG
5,Yinka Dare,4,1995,1998,"Oct 10, 1972",Kano,NG
6,Obinna Ekezie,4,2000,2005,"Aug 22, 1975",Port Harcourt,NG
7,Festus Ezeli,3,2013,2016,"Oct 21, 1989",Benin City,NG
8,Julius Nwosu,1,1995,1995,"May 1, 1971",Nkwere,NG
9,Josh Okogie,5,2019,2023,"Sep 1, 1998",Lagos,NG
10,Hakeem Olajuwon*,18,1985,2002,"Jan 21, 1963",Lagos,NG
11,Michael Olowokandi,9,1999,2007,"Apr 3, 1975",Lagos,NG
12,Eugene Omoruyi,2,2022,2023,"Feb 14, 1997",Benin City,NG
13,Olumide Oyedeji,3,2001,2003,"May 11, 1981",Ibadan,NG
0,Torgeir Bryn,1,1990,1990,"Aug 8, 1964",Oslo,NO
0,Rolando Blackman,13,1982,1994,"Feb 26, 1959",Panama City,PA
1,Gary Forbes,2,2011,2012,"Feb 25, 1985",Colon,PA
2,Rubén Garcés,1,2001,2001,"Oct 17, 1973",Colon,PA
3,Stuart Gray,7,1985,1991,"May 27, 1963",Panama Canal Zone,PA
0,Marcin Gortat,12,2008,2019,"Feb 17, 1984",Lodz,PL
1,Maciej Lampe,3,2004,2006,"Feb 5, 1985",Lodz,PL
2,Cezary Trybański,2,2003,2004,"Sep 22, 1979",Warsaw,PL
0,Neemias Queta,1,2022,2022,"Jul 13, 1999",Lisbon,PT
0,Carlos Arroyo,9,2002,2011,"Jul 30, 1979",Fajardo,PR
1,J.J. Barea,14,2007,2020,"Jun 26, 1984",Mayaguez,PR
2,Gian Clavell,1,2018,2018,"Nov 26, 1993",Caguas,PR
3,Guillermo Díaz,1,2008,2008,"Mar 4, 1985",San Juan,PR
4,Butch Lee,2,1979,1980,"Dec 5, 1956",Santurce,PR
5,José Ortiz,2,1989,1990,"Oct 25, 1963",Aibonito,PR
6,Peter John Ramos,1,2005,2005,"May 13, 1985",Fajardo,PR
7,Ramón Rivas,1,1989,1989,"Jun 3, 1966",Carolina,PR
0,Ha Seung-Jin,2,2005,2006,"Aug 4, 1985",Seoul,KR
0,Pero Antić,2,2014,2015,"Jul 29, 1982",Skopje,MK
1,Cedi Osman,6,2018,2023,"Apr 8, 1995",Ohrid,MK
0,Serge Ibaka,14,2010,2023,"Sep 18, 1989",Brazzaville,CG
0,Ernie Grunfeld,9,1978,1986,"Apr 24, 1955",Satu-Mare,RO
1,Gheorghe Mureșan,6,1994,2000,"Feb 14, 1971",Triteni,RO
0,Sergei Bazarevich,1,1995,1995,"Mar 16, 1965",Moscow,RU
1,Sergey Karasev,3,2014,2016,"Oct 26, 1993",St. Petersburg,RU
2,Sasha Kaun,1,2016,2016,"May 8, 1985",Tomsk,RU
3,Andrei Kirilenko,13,2002,2015,"Feb 18, 1981",Izhevsk,RU
4,Yaroslav Korolev,2,2006,2007,"May 7, 1987",Moscow,RU
5,Johnny Macknowski,2,1950,1951,"Jan 7, 1923",,RU
6,Sergei Monia,1,2006,2006,"Apr 15, 1983",Saratov,RU
7,Timofey Mozgov,8,2011,2018,"Jul 16, 1986",St. Petersburg,RU
8,Pavel Podkolzin,2,2005,2006,"Jan 15, 1985",Novosibirsk,RU
9,Alexey Shved,3,2013,2015,"Dec 16, 1988",Belgorod,RU
10,Alexander Volkov,2,1990,1992,"Mar 28, 1964",Omsk,RU
0,Chris Boucher,6,2018,2023,"Jan 11, 1993",Castries,LC
0,Adonal Foyle,12,1998,2009,"Mar 9, 1975",Canouan,VC
0,Gorgui Dieng,10,2014,2023,"Jan 18, 1990",Kebemer,SN
1,DeSagana Diop,12,2002,2013,"Jan 30, 1982",Dakar,SN
2,Tacko Fall,3,2020,2022,"Dec 10, 1995",Dakar,SN
3,Karim Mané,1,2021,2021,"May 16, 2000",Dakar,SN
4,Hamady N'Diaye,3,2011,2014,"Jan 12, 1987",Dakar,SN
5,Makhtar N'Diaye,1,1999,1999,"Dec 12, 1973",Dakar,SN
6,Mamadou N'Diaye,5,2001,2005,"Jun 16, 1975",Dakar,SN
7,Boniface N'Dong,1,2006,2006,"Mar 9, 1977",Dakar,SN
8,Maurice Ndour,1,2017,2017,"Jun 18, 1992",Sindia,SN
9,Cheikh Samb,2,2008,2009,"Oct 22, 1984",,SN
10,Mouhamed Sene,3,2007,2009,"May 12, 1986",Thies,SN
11,Pape Sow,3,2005,2007,"Nov 22, 1981",Dakar,SN
0,Miloš Babić,2,1991,1992,"Nov 23, 1968",Kraljevo,RS
1,Nemanja Bjelica,7,2016,2022,"May 9, 1988",Belgrade,RS
2,Bogdan Bogdanović,5,2018,2022,"Aug 18, 1992",Belgrade,RS
3,Žarko Čabarkapa,3,2004,2006,"May 21, 1981",Zrenjanin,RS
4,Radisav Ćurčić,1,1993,1993,"Sep 26, 1965",Cacak,RS
5,Rastko Cvetković,1,1996,1996,"Jun 22, 1970",Belgrade,RS
6,Vlade Divac*,16,1990,2005,"Feb 3, 1968",Prijepolje,RS
7,Marko Guduric,1,2020,2020,"Mar 8, 1995",Priboj,RS
8,Marko Jarić,7,2003,2009,"Oct 12, 1978",Belgrade,RS
9,Nikola Jokić,8,2016,2023,"Feb 19, 1995",Sombor,RS
10,Nenad Krstić,7,2005,2011,"Jul 25, 1983",Kraljevo,RS
11,Boban Marjanović,8,2016,2023,"Aug 15, 1988",Zajecar,RS
12,Darko Miličić,10,2004,2013,"Jun 20, 1985",Novi Sad,RS
13,Nemanja Nedović,1,2014,2014,"Jun 16, 1991",Nova Varos,RS
14,Aleksej Pokusevski,3,2021,2023,"Dec 26, 2001",Belgrade,RS
15,Miroslav Raduljica,2,2014,2015,"Jan 5, 1988",Belgrade,RS
16,Igor Rakočević,1,2003,2003,"Mar 29, 1978",Belgrade,RS
